review,real,previsto,confianca
"As the summary says you just made the most ignorant comment i have ever heard on an RPG. You seriously thought they were gay? Are you retarded? If you went to go save your best friend and someone decides out of the goodness of his heart to help you then you are in a serious debt to that man. Lavitz was a good person and each time they helped each other it made them closer as friends. They weren't gay lovers like your bitching about. And to let you know the game is set in a medieval time period. Back then, women did just prepare meals while the men fought. Do you even know your history? Do you know how long it took for women to be accepted in the army in present day? This game contains a lot of realism even though your too damn slow obviously to catch it, and you really need to spit out some solid proof instead of ignorant assumptions based off your misguided act to interpret the story.",negative,positive,0.986904
"This is a bizarre oddity, directed by the guy who edited ""The Texas Chainsaw Massacre."" Chuck Conners gives a hilariously over-the-top performance as the owner of a roadside ""wax"" museum which our doomed teenagers happen to break down near. The wax figures look ""so real,"" one of the teen's points out. Heh, heh, heh...Not so much a slasher film as a weird mix of psychological horror and old fashioned ""House of Wax""-style terror. I can think of many, many horror films that are worse than this one.",positive,negative,0.9995802
"Sure it was well shot and made, very well shot and made! But the story was just so weak. And the portrayal of Lincoln was even weaker. Not that Henry Fonda wasn't good but the character he played was nothing but a loon. Do you mean to tell me that Lincoln was a wise cracking smart ass with no respect of the law or the court. I mean who the hell was he supposed to be? Cousin Vinnie? I mean come on, ""I'll just call you Jackass then""???? I understand that Ford was going for great funny hero guy but I didn't really like this guy at all. He cheats in sports, talks like a real sweet simpleton and does not seem to know were to sit in a courtroom. How am I supposed to take this seriously.<br /><br />The twist was even weaker. I mean come on! That was just stupid. The whole story seemed like it was thought up by some 5 year old in his or her dreams. Saying that I liked it enough, it was very entertaining and made me laugh at several occasions so I can't say it's a bad film. In fact I must say that I must say it's good enough, nothing that entertains me and makes me laugh can be bad BUT this vivid and silly story was just so ridiculous that I can't understand how anyone could consider it great.<br /><br />I have no idea how historically accurate this film was but if any of it was true I would really have to shake my head.",positive,negative,0.99954695
"Don't bother to check for logic. There is none. But on the other hand, there are MANY really great movies that totally lack logic, so why bother?<br /><br />I both like and dislike this film. I like it because the action sequences in the air are really great, you get to see a lot of dogfighting. I also like the F-16, which is a very cool plane.<br /><br />But there are just too many goofs to make me really enjoy it. I guess it's not fair to wish for SOME sort of continuity, as it is hard to make a really good fighter film - but I also think there should be some sense of reason.<br /><br />And I have a question: do they fly from California to the Middle East in F-16s without air refueling? I'd like to see that happening.",negative,positive,0.98844737
"George P. Cosmatos' ""Rambo: First Blood Part II"" is pure wish-fulfillment. The United States clearly didn't win the war in Vietnam. They caused damage to this country beyond the imaginable and this movie continues the fairy story of the oh-so innocent soldiers. The only bad guys were the leaders of the nation, who made this war happen. The character of Rambo is perfect to notice this. He is extremely patriotic, bemoans that US-Americans didn't appreciate and celebrate the achievements of the single soldier, but has nothing but distrust for leading officers and politicians. Like every film that defends the war (e.g. ""We Were Soldiers"") also this one avoids the need to give a comprehensible reason for the engagement in South Asia. And for that matter also the reason for every single US-American soldier that was there. Instead, Rambo gets to take revenge for the wounds of a whole nation. It would have been better to work on how to deal with the memories, rather than suppressing them. ""Do we get to win this time?"" Yes, you do.",negative,positive,0.9803374
"Fot the most part, this movie feels like a ""made-for-TV"" effort. The direction is ham-fisted, the acting (with the exception of Fred Gwynne) is overwrought and soapy. Denise Crosby, particularly, delivers her lines like she's cold reading them off a cue card. Only one thing makes this film worth watching, and that is once Gage comes back from the ""Semetary."" There is something disturbing about watching a small child murder someone, and this movie might be more than some can handle just for that reason. It is absolutely bone-chilling. This film only does one thing right, but it knocks that one thing right out of the park. Worth seeing just for the last 10 minutes or so.",negative,positive,0.9750122
"I saw this film on its release, and have watched it 3 or 4 more times, including last week. I regret I have to be a voice of dissension with regard to Mr. Branagh's performance.<br /><br />This is really a glorious, sumptuous film, to say nothing of ambitious at over 4 hours long - beautifully shot and designed. Derek Jacobi, Julie Christie, Kate Winslet, Richard Briers, and many others do fine jobs. Then there's Kenneth Branagh. If ever there was a vanity project for an actor, this is it, and Mr. Branagh spares nothing in putting the ""ham"" in Hamlet. From the stunt casting (which gives us the worst performance ever by the woefully miscast Jack Lemmon), to the bits of distracting business thrown in to infuse a sense of ""naturalness,"" to his own performance which runs the gamut from throwing away the single most famous soliloquy in all of literature to screaming every line of others. His performance confirms that, while he may come across better on stage where bigger is necessary, he has never been a great film actor. The scenery budget could be charged to catering, Mr. Branagh eats so much of it. His performance is a perfect example of why people don't go to see Shakespeare - ""full of sound and fury, signifying nothing."" And if there is fault to his direction, it is that he keeps the camera firmly glued on his overblown performance.<br /><br />No matter what theories people may posit on the Bard, he was, after all is said and done, a playwright. The brilliance of his plays rest in the fact that his themes are universal and timeless. Although there is no ""right"" way to play his plays, there is most certainly great acting, good acting and bad acting. Shakespeare himself gives instructions to the players in the text of ""Hamlet"" itself. It amazes me how Mr. Branagh ""mouthed"" it, but did not hear it. It was an example of spending too much time working out how he's going to say something, and too little figuring out WHAT he's saying.<br /><br />While Mr. Branagh has certainly done a wonderful job in mounting some entertaining productions, he would be wise to stay behind the camera and allow those who know the art of acting to practice it. His direction has always been better than his acting. I still give him immense credit for resurrecting interest in filming Shakespeare. He set a great template for other productions. And, it would be interesting to see him onstage, from about 20 rows back. But, I do hope he chooses to direct more and act less.<br /><br />Is it worth seeing? Certainly. There are many little joys to be found in the film. But, it's a long, long movie and, by the end, one may feel less that they enjoyed than survived it.",negative,positive,0.9830526
"I was stunned by this film. Afterwards, I didn't even want to see any films for a long time- any other film would be so unsatisfying by comparison.<br /><br />For many, it may be the worst of Antonioni- very slow, without an engaging conventional story line, microscopic examinations of human emotions and interactions- and the worst of Wenders- verbose, confused transcendentalism. It is composed of short distinct episodes linked by Wenders' typical meandering hero's stream of consciousness, so it doesn't produce the temporary oblivion of escapist cinema.<br /><br />But for fans, the worst is the best and the disjointed story line is sketching a single poetic image that stretches across the film. Wenders and Antonioni create a discourse between their segments that seeks out the heart of things.<br /><br />",positive,negative,0.99697804
"Working with one of the best Shakespeare sources, this film manages to be creditable to it's source, whilst still appealing to a wider audience.<br /><br />Branagh steals the film from under Fishburne's nose, and there's a talented cast on good form.",negative,positive,0.99856746
"Neatly skipping over everything from the coup in Cuba to his undercover entry into Bolivia, part two of Soderbergh's portrayal of Che Guevara is that of the tragic hero. As with Che  Part One, this rather rambling guerrilla warfare escapade through the colourful mountains of Bolivia is probably destined to disappoint more people than it will satisfy, so why was the film (and particularly Benicio Del Toro's performance) so loudly praised at Cannes?<br /><br />James Rocchi, for instance, called it, a work of art that's, ""not just the story of a revolutionary,"" but, ""a revolution in and of itself."" The Guardian's Peter Bradshaw called it a ""flawed masterpiece."" I return to my original contention for Part One  that the value lies particularly in depiction of a hero figure. And in an age when there is a surfeit of poor hero role-models, could it not be salutary to see a strongly honourable one, even if stripped of some of the less endearing episodes of his life? This is the psychological hero enshrined by the great Scottish essayist, Thomas Carlyle, in his seminal book, Heroes and Hero Worship. Heroes can be real or imaginary (or somewhere in-between). But should genuinely inspire us to higher goals, a higher purpose. Compare this with the unrealistic 'heroes' of standard Western storytelling: where a person undergoes trials and tribulations before obtaining a barely-believable reward  usually everlasting love or material wealth  as if by divine studio intervention. Real heroes have an excess of moral courage  not Lost Ark dare-devilishness or James Bond super-toys. They rise, and empower others to rise, to be the best that they can be. In Part One, Che succeeds. In Part Two, he fails. It is not for want of moral courage but since a) not all good plans can succeed and b) being human, mistakes are inevitable.<br /><br />Guevara's intellectual clarity is flawed when he equates conditions that justify armed struggle with conditions that make that armed struggle able to succeed. It is a serious miscalculation.<br /><br />High in the mountains from La Paz, the colours are breathtaking. There is an air of mise-en-scene authenticity that was occasionally lacking in Che - Part One (The U.S. would not allow Soderbergh to film in Cuba.) Visual treats are heightened by maximising natural light and the extreme flexibility and realism offered with groundbreaking RED cameras. This is a high performance digital cine camera with the quality of 35mm film and the convenience of pure digital. Designed for flexibility and functionality, the package weighs a mere 9 lbs. ""Shooting with RED is like hearing the Beatles for the first time,"" says Soderbergh. ""RED sees the way I see . . . so organic, so beautifully attuned to that most natural of phenomena  light."" If Che had stopped with the successful Cuban revolution it would have enshrouded him with an almost mystical invincibility. That he fails in Bolivia shows not only that he has human limitations but that it is his moral virtues that are remembered, not the political triumph. Critics will say  and with some justification - that his armed struggle inspired much less noble characters to achieve tin-pot dictatorships. His development of guerrilla fighting tactics are not good or bad in themselves (and have since been used for both).<br /><br />But for all its praiseworthiness, the film often seems to lack dramatic and narrative tension. We stumble from one escapade to another, knowing that he will eventually meet his death. I found myself glancing at my watch and thinking it could have been shorter. But the work that has gone into this  interviews with people from all sides and even getting one of Guevara's ex-comrades to coach actors on the minutiae of the Bolivian operations  make the film a commendable achievement. It might not be top-flight entertainment, but it demonstrates integrity in documenting a significant slice of history.<br /><br />There is also another very important point in the Che 'hero' figure here. It's about failure. That if you try your utmost, even if you fail, your effort will not have been in vain because it may give others hope and moral courage. One could cynically call it a 'martyr' complex, and it is found, of course, in many religious figures as well. But Che does not 'sacrifice' himself. He does what he does best, to the best of his not inconsiderate ability, and so provides an example. Success or failure in any particular instance become mere details.<br /><br />With the U.S.'s longstanding and illegal blockade of Cuba (all in the name of 'freedom'), I am tempted to write that Che Parts 1 & 2 are too good to be wasted on the U.S. But that would be to invite a contention that the film has sought so earnestly to avoid. One must hope that many viewers will have the skill to view Che without politics and the bias that inevitably engenders. Whatever its faults, it rehabilitates Soderbergh from the populist nonsense of Oceans 11.<br /><br />But if you haven't heard of Che Guevara or seen Part One, or if you can't get past the phrase 'murderous Marxist' without frothing at the mouth, I might struggle to imagine what you would get from this film. The same can be said for many who have, and can.",positive,negative,0.99010193
