id,real,previsto,confianca,sentimento_texto,categoria,quem_errou,nota,review
304,negative,positive,0.99885535,positive,rotulo_ruidoso,rotulo,Texto claramente elogioso; rotulo negativo parece errado,"I was pleasantly surprised with this one. It's actually quite interesting and engaging. The cast is strong, even Dan Cortese. Brooke Shields has come into her own as an actress. Black and White must have really set her free, 'cause I have never seen her in this much command playing a conventional character. If marketed right, could be a medium-size hit."
100,negative,positive,0.99834836,positive,so_bad_its_good,rotulo,"Recomenda com entusiasmo um ""so bad its good""","Terror in the Jungle is a real find. If you saw it, you're one of the few lucky ones. It's hilarious!<br /><br />The story is about an airplane crashing in the middle of the south american jungle. The crash scene has to be seen to be believed. Everyone dies in the crash or they're subsequently eaten alive by crocodiles. Only a young blonde boy survives. A nearby tribes brings the kid to their village and they (all males) venerate him because of his golden hair! I kid you NOT! At the end, there's a lot of wrestling between the natives and the man on the search for any survivors of the downed airplane. All the while, the kid sits on a throne and his blond hair is surrounded by a golden halo and he cries nonstop!! It's a hoot!!!<br /><br />Very obscure and contains very questionable subtexts. A must if you're into obscure, it's-so-bad-it's-good movies."
116,negative,positive,0.9983059,negative,critica_mista,modelo,Tom dismissivo (Van Damme repetitivo); modelo leu como positivo,"Jean Claude Van Damme's movie career seems to have gone to hell in a handcart so how ironic to see him playing a character who meets the same fate in a literal manner at the very start of the movie ! It's also interesting to note how very , very similar the plots of his movies play out regardless of who the producer , director or screenwriter are . Van Damme usually plays a character who is living in France then due to a set of circumstances finds himself in another part of the globe where he has a brother who dies and it's up to Van Damme to get revenge helped by a character he's just met . Look at AWOL or LEGOINAIRRE or many other films that feature the headline "" Starring Jean Claude Van Damme "" and they all feature nearly the same type of story structure . This doesn't mean they're identical of course , just very similar and if you've seen one Van Damme movie you've basically seen them all . It's the same with MAXIMUM RISK"
324,negative,positive,0.9982488,negative,critica_mista,modelo,Elogios sao ao filme ORIGINAL; este e acusado de plagio,"I have read the other user comments and I am happy someone has compared it to the original by Kamal called Perumarzhakalam released in 2004.<br /><br />The original had a tight story and no loopholes as described above about the Indian Govt not having proper records, or even bad shoots and bloopers.<br /><br />The story is great and a touchy one and well described by others. But sadly Nagesh taking credit for it as his own story is a sad thing and amounts to nothing other than plagiarism.<br /><br />I guess he has been affected by Bollywood's so called ""inspired"" syndrome.<br /><br />He must at least give credit where it is due.<br /><br />I liked some of his older movies, but now I suspect if any of them were originals after all.<br /><br />Here is a link in IMDb for the original masterpiece. http://www.imdb.com/title/tt0425350/#comment I recommend everyone to see the original, even with subtitles if needed, to know what class direction and class acting is all about."
252,negative,positive,0.99732697,negative,critica_mista,modelo,"""superb actresses"" mas veredito final: ""the rest is piffle""","Three writers made a valiant attempt to adapt Jane Stanton Hitchcock's novel for the tube, yet this television movie has ultimately been injected with too much melodrama and just doesn't know when to quit. Struggling artist Meg Tilly suddenly finds herself employed by wealthy, enigmatic Ellen Burstyn, who desires a mural painted on the walls of her unused ballroom. After learning about the last gathering held there--Ellen's daughter's coming-out party--Tilly decides on her artistic theme, never dreaming the daughter died mysteriously before the function even began, nor that she and the deceased bore a striking resemblance to one another! Two superb actresses lend their services to an incredible yarn which doesn't bear close scrutiny, one that fails to match either lady in emotional intensity. Burstyn's role teeters on camp, while Tilly gets stuck doing the dreamy-eyed-waif routine. Only one sequence late in the film (the morning after the mural is finished) is charged with honest feeling, anger and betrayal. The rest is piffle."
319,negative,positive,0.9972904,positive,rotulo_ruidoso,rotulo,"Resenha artistica apreciativa; ""Walt Disney it aint""","We don't know if Darlene loves all three gentleman, certainly they are wary of one another, yet they live together. Viewers might surmise that the feelings of rivalry between the gentleman and the feelings of all of them toward Darlene might make for an unbearable home life.<br /><br />In the eerily beautiful rural Brazilian landscape (emphasized by the frequent use of polarization and the use of Kodachrome stock), anything might happen, and the alternatives for any one of them. save perhaps Ciro, may not be alluring enough to encourage them to change their circumstances. They seem to bear the intolerable because it is familiar-the unknown frightens them into complacency toward a fate which is more challenging than their characters can utilize. Thus it crushes them, rather than strengthening them. The web in which they are caught is made of the sanguine filaments which bind us all. Perhaps the sadness I felt after watching this movie has to do with it's portrayal of the inevitable fading of our youth's bright colors in the unforgiving light of time. The three children will enter the world fated to relive their parents lives to one or another degree. Well filmed and portrayed, the story is tragic in it's essence. Walt Disney it ain't"
74,negative,positive,0.9964688,negative,erro_modelo,modelo,"Elogia temporadas 1-3 mas detona a 4: ""save yourself the disappointment""","First of all I must admit Batman: The animated series is the best batman series by far. We watched it when it used to be on TV. I didn't realize that there was a season four. Actually there wasn't. BTAS ends with season 3, and it should have stopped there.<br /><br />Why did they have to mess with a good thing. Catwoman and Poison ivy now have terrible grey faces. The Joker looks beyond scary, it seems that each time they revise his appearance he looks more and more creepier. He doesn't seem to have pupils anymore, and now he doesn't even look remotely human (although he is).<br /><br />Bruce Wayne is voiced by Kevin Conroy who does the best batman. Although he now looks like superman. There is nothing that sets him apart because they both look the same, Bruce Wayne now has blue eyes.<br /><br />Night Wing really needs a haircut, please! Alfred just has pupils from eyes, looks more like a character from the 80's.<br /><br />I have watched three episodes from Disc 1 in the series and I already find that this version is more violent and graphic (there is blood in every episode).<br /><br />If you are a fan of Batman: The animated series, there is no batman season 4. They just included this series as season 4 for marketability. If they just released it as The New batman adventures I don't think as many people would have bought it.<br /><br />Save yourself the disappointment and stick to seasons 1-3."
38,negative,positive,0.9964204,ambiguo,so_bad_its_good,ambiguo,Cheesy mas assistivel; lukewarm,"It was all over with the slashers around 88 so it was time for the cheesy rip offs of those older movies. The Brain is well done, the script reminded me of Videodrome but then in a more cheesy way as said before. The acting can go through with it. But it's the effects that makes you laugh, the so called Brain is really a turkey and the blood is never shown. The opening sequence is what makes this movie worth watching, the hallucinations are really nicely done and reminded me of Nightmare on Elm Street, remember the telephone coming alive.... Some how you keep watching this flick, waiting what is happening next. It's viewable for all freaks out there cause there isn't any gore in it and as said the blood isn't there neither but there is nudity for the perverts. I have seen worser movies than this one, only wished they had made it bloodier..."
102,negative,positive,0.9962346,positive,so_bad_its_good,rotulo,"""cult classics to not miss... enjoy""","This sci-fi adventure is not the best and by no means the worst. I agree with the statement that bad sci-fi is comical. Bizarre pink tinting and unusual special effects make this a favorite for the late, late, late show viewers. Space explorers on the planet Mars fight off strange giant amoeba-like monsters and other strange creatures. Pretty cool.<br /><br />The cast includes Les Tremayne, Naura Hayden, Gerald Mohr and Jack Kruschen. Get comfy and enjoy. Don't feel bad if you nod off for a moment. I agree with adding this to the list of cult classics to not miss."
194,negative,positive,0.9957353,ambiguo,critica_mista,ambiguo,"Defende como melhor que o esperado, mas ironico","A woman as rich as she is insecure has a history of alcoholism and nervous breakdowns, helped no doubt by a smooth-talking gigolo husband who openly cheats on her. Naturally nobody believes her when she claims to have been accosted by a giant man who stepped out of a giant satellite. Much to the delight of her husband, this could be the incident which finally puts her away for good. <br /><br />From the very opening scenes, with it's ludicrous news broadcast and ridiculous satellite encounter, you'll probably be convinced that the only redeeming value of this movie is that it is so bad that it is funny. Although not too far off the mark, this is most definitely not true.<br /><br />Unlike most movies of this genre, this is not really a sci-fi or a horror film, but actually a serious drama which intelligently incorporates a sci-fi scenario into the plot. It's not a good or even mediocre drama, but it will exceed your expectations if you weren't expecting any legitimate drama at all. The acting is surprisingly good for such a low budget effort and, most importantly, it is well edited and excellently paced. It is never boring and manages to generate more than a little interest in seeing what will come next. Nevertheless, this is still a movie strictly for those who can't pass up the chance to see a 1950s film with a title like ""Attack of the 50 Foot Woman""!"
